N;2T;2T OMP
1;1200;1390
2;600;700
3;800;470
4;460;360
5;460;290
6;400;390
7;340;400
8;310;350
9;290;300
10;450;290
11;260;280
12;350;360
13;330;360
14;360;340
15;330;350
16;310;340
17;290;330
18;280;310
19;270;300
20;280;280
30;260;290
40;270;290
50;290;280
100;420;300
200;470;390
300;630;450
400;750;600
500;900;760
600;1030;980
700;1010;1220
800;1080;1470
