N;2T;2T OMP
1;700;640
2;370;330
3;270;230
4;300;170
5;410;130
6;240;170
7;240;130
8;230;130
9;350;120
10;260;100
11;210;100
12;300;140
13;220;130
14;200;120
15;210;120
16;240;130
17;230;130
18;190;120
19;220;120
20;220;120
30;180;110
40;180;140
50;200;130
100;240;160
200;350;230
300;620;410
400;890;670
500;940;910
600;950;1200
700;1030;1490
800;1130;1770
