N;2T;2T OMP
1;1670;1330
2;1780;760
3;900;490
4;850;380
5;500;400
6;460;340
7;490;290
8;910;260
9;880;230
10;370;220
11;610;210
12;360;260
13;370;280
14;430;270
15;360;280
16;320;270
17;520;270
18;360;220
19;380;240
20;390;230
30;420;240
40;370;260
50;360;240
100;520;300
200;650;420
300;860;690
400;980;1000
500;1070;1240
600;1180;1620
700;1310;1920
800;1460;2230
