N;2T;2T OMP
1;2150;2260
2;1070;1130
3;840;770
4;750;620
5;780;550
6;710;640
7;600;590
8;560;490
9;490;500
10;520;440
11;410;420
12;390;400
13;570;580
14;600;580
15;530;530
16;510;580
17;530;540
18;450;530
19;460;490
20;450;480
30;430;450
40;480;480
50;480;490
100;590;500
200;660;540
300;730;690
400;930;830
500;1020;1000
600;1100;1260
700;1160;1460
800;1240;1750
